framework,dataset,seed,accuracy,precision_macro,recall_macro,f1_macro,runtime_seconds,best_model,models_evaluated
H2O AutoML,titanic,123,0.7709923664122137,0.7575462512171374,0.7612345679012346,0.7591911764705883,590.0590906001162,GBM_grid_1_AutoML_8_20260726_220002_model_7,68
H2O AutoML,titanic,2026,0.7786259541984732,0.7695386064030132,0.7827160493827161,0.7722012352341548,594.5185421998613,StackedEnsemble_AllModels_4_AutoML_9_20260726_220953,56
PyCaret,titanic,42,0.8091603053435115,0.7978395061728395,0.7978395061728395,0.7978395061728395,6.7902919999323785,LGBMClassifier,
PyCaret,titanic,123,0.7633587786259542,0.7503196930946292,0.7416666666666667,0.7451681726907631,5.862944299820811,LGBMClassifier,
PyCaret,titanic,2026,0.7977099236641222,0.7938009019317493,0.7694444444444444,0.7774786468599266,5.228045100113377,GradientBoostingClassifier,
TPOT,titanic,42,0.816793893129771,0.8064335490293678,0.8040123456790124,0.8051682468860383,611.0714459000155,"Pipeline(steps=[('featureunion',
                 FeatureUnion(transformer_list=[('functiontransformer-1',
                                                 FunctionTransformer(func=<function copy at 0x0000019BAB396840>)),
                                                ('functiontransformer-2',
                                                 FunctionTransformer(func=<function copy at 0x0000019BAB396840>))])),
                ('randomforestclassifier',
                 RandomForestClassifier(bootstrap=False, max_features=0.2,
                                        min_samples_split=18,
                                        random_state=42))])",
TPOT,titanic,123,0.7748091603053435,0.7640124699616808,0.750925925925926,0.7558556424228066,644.2635860000737,"Pipeline(steps=[('stackingestimator',
                 StackingEstimator(estimator=ExtraTreesClassifier(max_features=1.0,
                                                                  min_samples_leaf=15,
                                                                  min_samples_split=17,
                                                                  random_state=123))),
                ('randomforestclassifier',
                 RandomForestClassifier(max_features=0.8, min_samples_leaf=3,
                                        min_samples_split=9,
                                        random_state=123))])",
TPOT,titanic,2026,0.7748091603053435,0.7632221579590001,0.7528395061728395,0.7569611496313067,624.3034220000263,"Pipeline(steps=[('featureunion',
                 FeatureUnion(transformer_list=[('pipeline',
                                                 Pipeline(steps=[('stackingestimator',
                                                                  StackingEstimator(estimator=XGBClassifier(base_score=None,
                                                                                                            booster=None,
                                                                                                            callbacks=None,
                                                                                                            colsample_bylevel=None,
                                                                                                            colsample_bynode=None,
                                                                                                            colsample_bytree=None,
                                                                                                            device=None,
                                                                                                            early_stopping_rounds=None,
                                                                                                            enable_categorical=False,
                                                                                                            eval_metric=None,
                                                                                                            feat...
                                                                                                            num_parallel_tree=None, ...))),
                                                                 ('polynomialfeatures',
                                                                  PolynomialFeatures(include_bias=False))])),
                                                ('selectfrommodel',
                                                 SelectFromModel(estimator=ExtraTreesClassifier(max_features=0.3,
                                                                                                random_state=2026),
                                                                 threshold=0.05))])),
                ('randomforestclassifier',
                 RandomForestClassifier(criterion='entropy', max_features=0.8,
                                        min_samples_leaf=6, min_samples_split=3,
                                        random_state=2026))])",
H2O AutoML,wine,42,0.9444444444444444,0.9583333333333334,0.9333333333333332,0.9407407407407408,601.7448986999225,StackedEnsemble_BestOfFamily_3_AutoML_4_20260726_212002,172
H2O AutoML,wine,123,0.9722222222222222,0.9743589743589745,0.9761904761904764,0.974320987654321,602.8983303999994,GBM_grid_1_AutoML_5_20260726_213005_model_48,137
H2O AutoML,wine,2026,0.9722222222222222,0.9743589743589745,0.9761904761904764,0.974320987654321,601.6194412000477,DRF_1_AutoML_6_20260726_214008,128
PyCaret,wine,42,0.9722222222222222,0.977777777777778,0.9666666666666668,0.970961887477314,6.1810317998752,LogisticRegression,
PyCaret,wine,123,1.0,1.0,1.0,1.0,6.024584600003436,LogisticRegression,
PyCaret,wine,2026,0.9722222222222222,0.9743589743589745,0.9761904761904764,0.974320987654321,7.296286599943414,LogisticRegression,
TPOT,wine,42,0.9722222222222222,0.977777777777778,0.9666666666666668,0.970961887477314,600.2392512999941,"Pipeline(steps=[('stackingestimator',
                 StackingEstimator(estimator=LinearSVC(C=10.0, dual=False,
                                                       random_state=42,
                                                       tol=0.1))),
                ('mlpclassifier',
                 MLPClassifier(alpha=0.1, learning_rate_init=0.01,
                               random_state=42))])",
TPOT,wine,123,0.9722222222222222,0.9743589743589745,0.9761904761904764,0.974320987654321,609.7931300001219,"Pipeline(steps=[('extratreesclassifier',
                 ExtraTreesClassifier(max_features=0.35000000000000003,
                                      min_samples_split=17,
                                      random_state=123))])",
TPOT,wine,2026,0.9444444444444444,0.9523809523809524,0.9523809523809524,0.9487179487179488,603.2600078000687,"Pipeline(steps=[('gradientboostingclassifier',
                 GradientBoostingClassifier(learning_rate=0.01, max_depth=1,
                                            max_features=0.5,
                                            min_samples_leaf=6,
                                            min_samples_split=10,
                                            random_state=2026,
                                            subsample=0.3))])",
